id,coordinate,address,typeSummary,iconName,location_name,price,formatted_price,price_per_area,fee,sale_date,asked_price,rooms,living_space,supplemental_area,url,land_area,formatted_price_change_percentage,broker_logo_url
1189834,"[59.33862390333774,18.002828721775913]",Hornsbergs Strand 95,Bostadsrättslägenhet,bostadsratt,"Kristineberg, Stockholm",<span class='sold-for'>Slutpris 8 425 000 kr</span>,Slutpris 8 425 000 kr,84 250 kr/m²,4 012 kr/mån,Såld 2020-05-21,Begärt pris 8 300 000 kr,4 rum,100 m²,null,/salda/lagenhet-4rum-kungsholmen-hornsbergs-strand-stockholms-kommun-hornsbergs-strand-95-1189834,null,+2 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg
1189843,"[59.33617573511224,18.032478769776816]",Fridhemsgatan 64A,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 4 500 000 kr</span>,Slutpris 4 500 000 kr,94 142 kr/m²,2 910 kr/mån,Såld 2020-05-21,Begärt pris 4 100 000 kr,2 rum,"47,8 m²",null,/salda/lagenhet-2rum-kungsholmen-fridhemsplan-stockholms-kommun-fridhemsgatan-64a-1189843,null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/70/88/7088fe6ff6a4c2413ceb8481b3a51c7b.png
1189859,"[59.3375105011148,18.02608957600489]","Alströmergatan 32G, våning 3",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 700 000 kr</span>,Slutpris 3 700 000 kr,88 095 kr/m²,2 091 kr/mån,Såld 2020-05-21,Begärt pris 3 700 000 kr,2 rum,42 m²,null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-alstromergatan-32g,-vaning-3-1189859",null,,https://bilder.hemnet.se/images/broker_logo_2/c9/5d/c95d4747f3ed25d9c044a37d6d974aa4.png
1189983,"[59.33565779764228,18.029248978050273]","Arbetargatan 34, 4 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 250 000 kr</span>,Slutpris 3 250 000 kr,80 247 kr/m²,2 017 kr/mån,Såld 2020-05-22,Begärt pris 3 195 000 kr,2 rum,"40,5 m²",null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-arbetargatan-34,-4-tr-1189983",null,+2 %,https://bilder.hemnet.se/images/broker_logo_2/63/7c/637c17c40a250ef71084ac34e860d757.jpg
1189987,"[59.33589541179976,18.03641130893233]","Inedalsgatan 21, 3tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 1 810 000 kr</span>,Slutpris 1 810 000 kr,150 833 kr/m²,705 kr/mån,Såld 2020-05-20,Begärt pris 1 795 000 kr,1 rum,12 m²,null,"/salda/lagenhet-1rum-kungsholmen-kungsholms-strand-stockholms-kommun-inedalsgatan-21,-3tr-1189987",null,+1 %,https://bilder.hemnet.se/images/broker_logo_2/f8/ce/f8ce703998adb48113f2d029952181ab.png
1190054,"[59.33400400434009,18.036981100682905]","Fleminggatan 30, 3tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 900 000 kr</span>,Slutpris 3 900 000 kr,86 667 kr/m²,1 940 kr/mån,Såld 2020-05-20,Begärt pris 3 750 000 kr,2 rum,45 m²,null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-fleminggatan-30,-3tr-1190054",null,+4 %,https://bilder.hemnet.se/images/broker_logo_2/c7/71/c7718ab629a34482394955e940d39e08.png
1190083,"[59.328381713714634,18.03684830896031]","John Ericssonsgatan 7, 4 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 425 000 kr</span>,Slutpris 3 425 000 kr,85 625 kr/m²,2 057 kr/mån,Såld 2020-05-22,Begärt pris 3 395 000 kr,2 rum,40 m²,null,"/salda/lagenhet-2rum-kungsholmen-invid-norr-malarstrand-stockholms-kommun-john-ericssonsgatan-7,-4-tr-1190083",null,+1 %,https://bilder.hemnet.se/images/broker_logo_2/24/b7/24b73737a26c5c000ce6408feb76db15.png
1190224,"[59.338675997710396,18.004856205177937]","Franzéngatan 78, 2 vån",Bostadsrättslägenhet,bostadsratt,"Kristineberg, Stockholm",<span class='sold-for'>Slutpris 6 700 000 kr</span>,Slutpris 6 700 000 kr,76 136 kr/m²,4 214 kr/mån,Såld 2020-05-22,Begärt pris 6 700 000 kr,3 rum,88 m²,null,"/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-franzengatan-78,-2-van-1190224",null,,https://bilder.hemnet.se/images/broker_logo_1/82/25/8225c7d0596e9ce0b5fdccc669703063.jpg
1190230,"[59.32777973828988,18.007023525408645]",Atterbomsvägen 38,Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",<span class='sold-for'>Slutpris 4 110 000 kr</span>,Slutpris 4 110 000 kr,66 290 kr/m²,3 173 kr/mån,Såld 2020-05-22,Begärt pris 4 200 000 kr,3 rum,62 m²,null,/salda/lagenhet-3rum-fredhall-stockholms-kommun-atterbomsvagen-38-1190230,null,-2 %,https://bilder.hemnet.se/images/broker_logo_2/e2/b5/e2b54e2572a76c90b88202121905077e.png
1190271,"[59.33413616535251,18.035937614365448]","Fleminggatan 34, 4 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 5 900 000 kr</span>,Slutpris 5 900 000 kr,89 394 kr/m²,1 759 kr/mån,Såld 2020-05-22,Begärt pris 5 375 000 kr,2 rum,66 m²,null,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-fleminggatan-34,-4-tr-1190271",null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/f8/ce/f8ce703998adb48113f2d029952181ab.png
