id,coordinate,address,typeSummary,iconName,location_name,price,formatted_price,price_per_area,fee,sale_date,asked_price,rooms,living_space,supplemental_area,url,land_area,formatted_price_change_percentage,broker_logo_url,price_change,floor,location_part,street_id,latitude,longitude
1255220,"[59.33712468146106,18.012106687184648]",Lustgårdsgatan 20,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",3850000,Slutpris 3 850 000 kr,83696,2062,2020-09-21,3695000,2,46,0,/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-lustgardsgatan-20-1255220,null,+4 %,https://bilder.hemnet.se/images/broker_logo_2/6d/b7/6db7ae1ac6c88bf6ac19132d9c93fc93.png,4,0,Kungsholmen,lustgrdsgatan,59.33712468146106,18.012106687184648
1255271,"[59.33648401527324,18.030043757035216]","Industrigatan 7a, 5tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",3150000,Slutpris 3 150 000 kr,82895,3008,2020-09-21,3200000,2,38,0,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-industrigatan-7a,-5tr-1255271",null,-2 %,https://bilder.hemnet.se/images/broker_logo_2/09/8d/098d01e00641ae617706acaf23bb6915.png,-2,5,Kungsholmen,industrigatan,59.33648401527324,18.030043757035216
1255287,"[59.33841825975145,18.02259954719511]","Igeldammsgatan 38, 2 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4015000,Slutpris 4 015 000 kr,93372,2571,2020-09-21,3750000,2,43,0,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-igeldammsgatan-38,-2-tr-1255287",null,+7 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg,7,2,Kungsholmen,igeldammsgatan,59.33841825975145,18.02259954719511
1255332,"[59.33673471512786,18.029696721543953]","Industrigatan 9, 4 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",2640000,Slutpris 2 640 000 kr,132000,1050,2020-09-21,2195000,1,20,0,"/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-industrigatan-9,-4-tr-1255332",null,+20 %,https://bilder.hemnet.se/images/broker_logo_2/f8/ce/f8ce703998adb48113f2d029952181ab.png,20,4,Kungsholmen,industrigatan,59.33673471512786,18.029696721543953
1255532,"[59.33167403857513,18.031303484324003]","Sankt Eriksgatan 24, 7 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",10875000,Slutpris 10 875 000 kr,102594,2119,2020-09-21,9975000,4,106,0,"/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-sankt-eriksgatan-24,-7-tr-1255532",null,+9 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg,9,7,Kungsholmen,sankteriksgatan,59.33167403857513,18.031303484324003
1255651,"[59.32738415792403,18.038007748312598]","Norr Mälarstrand 52, 4 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",3400000,Slutpris 3 400 000 kr,103030,2547,2020-09-21,2750000,1,33,0,"/salda/lagenhet-1,5rum-norr-malarstrand-stockholms-kommun-norr-malarstrand-52,-4-tr-1255651",null,+24 %,https://bilder.hemnet.se/images/broker_logo_2/00/9d/009dcc234822d495abe7f49ba2829022.png,24,4,Kungsholmen,norrmlarstrand,59.32738415792403,18.038007748312598
1256180,"[59.333005137633805,18.038967223435332]","Celsiusgatan 5, vån 2",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4590000,Slutpris 4 590 000 kr,109286,2113,2020-09-22,3450000,2,42,0,"/salda/lagenhet-2rum-kungsholmen-radhuset-stockholms-kommun-celsiusgatan-5,-van-2-1256180",null,+33 %,https://bilder.hemnet.se/images/broker_logo_2/b6/56/b656d8b9f26d099a415a7546b5d620a2.png,33,2,Kungsholmen,celsiusgatan,59.333005137633805,18.038967223435332
1256322,"[59.330755797184146,18.00188772109499]","Fredhällsgatan 5, 2 tr",Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",4050000,Slutpris 4 050 000 kr,90000,2239,2020-09-22,3750000,2,45,0,"/salda/lagenhet-2rum-fredhall-stockholms-kommun-fredhallsgatan-5,-2-tr-1256322",null,+8 %,https://bilder.hemnet.se/images/broker_logo_2/00/9d/009dcc234822d495abe7f49ba2829022.png,8,2,Fredhäll,fredhllsgatan,59.330755797184146,18.00188772109499
1256396,"[59.32763368439666,18.012954210653596]",Wennerbergsgatan 6a,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",3120000,Slutpris 3 120 000 kr,70909,2000,2020-09-21,3120000,2,44,0,/salda/lagenhet-2rum-stockholms-kommun-wennerbergsgatan-6a-1256396,null,,https://bilder.hemnet.se/images/broker_logo_2/45/12/4512f7eb77c66e721ba9d52777e74d52.png,0,0,Kungsholmen,wennerbergsgatan,59.32763368439666,18.012954210653596
1256430,"[59.34031860344758,18.00688365448509]",Hornsbergs Strand 65,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",7250000,Slutpris 7 250 000 kr,92949,3292,2020-09-23,6995000,3,78,0,/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-hornsbergs-strand-65-1256430,null,+4 %,https://bilder.hemnet.se/images/broker_logo_2/ec/92/ec92573d800c8d9c0cf06ed9971e790c.png,4,0,Kungsholmen,hornsbergsstrand,59.34031860344758,18.00688365448509
